2020-01-29 01:57:19 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_57_19.png
2020-01-29 01:57:19 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:57:26 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:57:26 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: #gh-search-input]for time : 10
2020-01-29 01:57:29 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (435262d18e70120404025a221d083206)] -> css selector: .header-search-button]for time : 10
2020-01-29 01:57:34 INFO  JavaScriptHelper:41 - scrolling to element
2020-01-29 01:57:35 INFO  JavaScriptHelper:48 - scrolling and clicking element
2020-01-29 01:58:35 INFO  TestBase:29 - Initialize Web driver: 838812606
2020-01-29 01:58:35 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-29 01:58:35 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-29 01:58:35 INFO  JavaScriptHelper:16 - javascriptHelper object initialized
2020-01-29 01:58:35 INFO  Homepage:50 - log in to the app
2020-01-29 01:58:36 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_29_01_2020_01_58_36.png
2020-01-29 01:58:36 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-29 01:58:42 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-29 01:58:42 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (f798a0ef6ac09399e2c7485c877634b8)] -> css selector: #gh-search-input]for time : 10
